"COUNTRY","Country","WEEK","Week number","GENDER","Gender","AGE","Age","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3489,,
"AUS","Australia","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3282,,
"AUS","Australia","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3323,,
"AUS","Australia","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3214,,
"AUS","Australia","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3363,,
"AUT","Austria","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2365,,
"AUT","Austria","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2123,,
"AUT","Austria","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1842,,
"AUT","Austria","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1775,,
"AUT","Austria","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1772,,
"BEL","Belgium","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2797,,
"BEL","Belgium","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2663,,
"BEL","Belgium","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2345,,
"BEL","Belgium","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2324,,
"BEL","Belgium","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2380,,
"CAN","Canada","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",7170,,
"CAN","Canada","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",7120,,
"CAN","Canada","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",6925,,
"CAN","Canada","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",6670,,
"CAN","Canada","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",6590,,
"CZE","Czech Republic","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2918,,
"CZE","Czech Republic","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2609,,
"CZE","Czech Republic","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2479,,
"CZE","Czech Republic","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2299,,
"CZE","Czech Republic","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2325,,
"DNK","Denmark","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1364,,
"DNK","Denmark","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1297,,
"DNK","Denmark","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1186,,
"DNK","Denmark","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1146,,
"DNK","Denmark","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1169,,
"FIN","Finland","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1368,,
"FIN","Finland","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1330,,
"FIN","Finland","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1241,,
"FIN","Finland","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1197,,
"FIN","Finland","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1196,,
"FRA","France","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",15768,,
"FRA","France","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",14414,,
"FRA","France","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",13827,,
"FRA","France","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",13613,,
"FRA","France","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",13250,,
"DEU","Germany","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",25382,,
"DEU","Germany","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",22688,,
"DEU","Germany","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",21209,,
"DEU","Germany","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",20616,,
"DEU","Germany","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",21070,,
"GRC","Greece","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3018,,
"GRC","Greece","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3080,,
"GRC","Greece","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2957,,
"GRC","Greece","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2847,,
"GRC","Greece","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2797,,
"HUN","Hungary","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2798,,
"HUN","Hungary","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2650,,
"HUN","Hungary","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2647,,
"HUN","Hungary","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2494,,
"HUN","Hungary","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2674,,
"ISL","Iceland","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",67,,
"ISL","Iceland","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",55,,
"ISL","Iceland","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",56,,
"ISL","Iceland","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",62,,
"ISL","Iceland","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",45,,
"ITA","Italy","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",15426,,
"ITA","Italy","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",15063,,
"ITA","Italy","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",14856,,
"ITA","Italy","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",15010,,
"ITA","Italy","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",14923,,
"LUX","Luxembourg","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",136,,
"LUX","Luxembourg","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",103,,
"LUX","Luxembourg","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",91,,
"LUX","Luxembourg","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",94,,
"LUX","Luxembourg","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",76,,
"NLD","Netherlands","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",4035,,
"NLD","Netherlands","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3873,,
"NLD","Netherlands","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3680,,
"NLD","Netherlands","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3443,,
"NLD","Netherlands","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",3623,,
"NZL","New Zealand","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",755,,
"NZL","New Zealand","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",669,,
"NZL","New Zealand","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",725,,
"NZL","New Zealand","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",697,,
"NZL","New Zealand","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",638,,
"NOR","Norway","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1104,,
"NOR","Norway","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1074,,
"NOR","Norway","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",912,,
"NOR","Norway","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",889,,
"NOR","Norway","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",876,,
"POL","Poland","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",10391,,
"POL","Poland","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",9534,,
"POL","Poland","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",8616,,
"POL","Poland","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",8285,,
"POL","Poland","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",8254,,
"PRT","Portugal","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2735,,
"PRT","Portugal","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2596,,
"PRT","Portugal","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2703,,
"PRT","Portugal","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2631,,
"PRT","Portugal","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2831,,
"SVK","Slovakia","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1273,,
"SVK","Slovakia","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1181,,
"SVK","Slovakia","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1152,,
"SVK","Slovakia","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1059,,
"SVK","Slovakia","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1077,,
"ESP","Spain","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",9986,,
"ESP","Spain","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",10072,,
"ESP","Spain","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",9913,,
"ESP","Spain","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",9724,,
"ESP","Spain","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",10178,,
"SWE","Sweden","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2372,,
"SWE","Sweden","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2134,,
"SWE","Sweden","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1997,,
"SWE","Sweden","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1842,,
"SWE","Sweden","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1803,,
"CHE","Switzerland","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1669,,
"CHE","Switzerland","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1536,,
"CHE","Switzerland","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1512,,
"CHE","Switzerland","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1457,,
"CHE","Switzerland","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1371,,
"GBR","England","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",16993,,
"GBR","England","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",19948,,
"GBR","England","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",17946,,
"GBR","England","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",15970,,
"GBR","England","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",15131,,
"USA","USA","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",69134,,
"USA","USA","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",66490,,
"USA","USA","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",64321,,
"USA","USA","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",62537,,
"USA","USA","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",62865,,
"CHL","Chile","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2386,,
"CHL","Chile","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2236,,
"CHL","Chile","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2312,,
"CHL","Chile","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",2210,,
