"Variable","Measure","Country","Year","Value","Flags"
"Practising nurses","Number of persons (head counts)","Australia","2019",309906,"Estimated value"
"Practising nurses","Number of persons (head counts)","Australia","2020",315017,"Estimated value"
"Practising nurses","Number of persons (head counts)","Australia","2021",328982,"Estimated value"
"Practising nurses","Number of persons (head counts)","Austria","2019",91492,"Break"
"Practising nurses","Number of persons (head counts)","Austria","2020",92022,
"Practising nurses","Number of persons (head counts)","Austria","2021",94909,
"Practising nurses","Number of persons (head counts)","Canada","2019",375312,
"Practising nurses","Number of persons (head counts)","Canada","2020",382839,
"Practising nurses","Number of persons (head counts)","Canada","2021",391847,
"Practising nurses","Number of persons (head counts)","Czechia","2019",91354,
"Practising nurses","Number of persons (head counts)","Czechia","2020",92664,
"Practising nurses","Number of persons (head counts)","Czechia","2021",94014,
"Practising nurses","Number of persons (head counts)","Denmark","2019",58913,
"Practising nurses","Number of persons (head counts)","Denmark","2020",59707,
"Practising nurses","Number of persons (head counts)","Finland","2019",102042,
"Practising nurses","Number of persons (head counts)","Finland","2020",104614,
"Practising nurses","Number of persons (head counts)","France","2021",581484,"Provisional value"
"Practising nurses","Number of persons (head counts)","Germany","2019",980000,
"Practising nurses","Number of persons (head counts)","Germany","2020",1001000,
"Practising nurses","Number of persons (head counts)","Germany","2021",1001000,
"Practising nurses","Number of persons (head counts)","Greece","2019",36237,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Greece","2020",39087,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Greece","2021",39850,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Hungary","2019",64722,
"Practising nurses","Number of persons (head counts)","Hungary","2020",64197,
"Practising nurses","Number of persons (head counts)","Hungary","2021",51171,"Break"
"Practising nurses","Number of persons (head counts)","Iceland","2019",5539,
"Practising nurses","Number of persons (head counts)","Iceland","2020",5727,
"Practising nurses","Number of persons (head counts)","Iceland","2021",5569,
"Practising nurses","Number of persons (head counts)","Iceland","2022",5682,
"Practising nurses","Number of persons (head counts)","Ireland","2021",64072,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Ireland","2022",67808,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Italy","2019",367684,"Estimated value"
"Practising nurses","Number of persons (head counts)","Italy","2020",373064,"Estimated value"
"Practising nurses","Number of persons (head counts)","Italy","2021",367378,"Estimated value"
"Practising nurses","Number of persons (head counts)","Japan","2020",1526740,
"Practising nurses","Number of persons (head counts)","Korea","2019",410694,
"Practising nurses","Number of persons (head counts)","Korea","2020",433993,
"Practising nurses","Number of persons (head counts)","Korea","2021",453864,
"Practising nurses","Number of persons (head counts)","Mexico","2019",360210,
"Practising nurses","Number of persons (head counts)","Mexico","2020",372464,
"Practising nurses","Number of persons (head counts)","Mexico","2021",378974,
"Practising nurses","Number of persons (head counts)","Netherlands","2019",186801,"Break"
"Practising nurses","Number of persons (head counts)","Netherlands","2020",193380,
"Practising nurses","Number of persons (head counts)","Netherlands","2021",199506,
"Practising nurses","Number of persons (head counts)","New Zealand","2019",50976,
"Practising nurses","Number of persons (head counts)","New Zealand","2020",53933,
"Practising nurses","Number of persons (head counts)","New Zealand","2021",55802,
"Practising nurses","Number of persons (head counts)","New Zealand","2022",58261,
"Practising nurses","Number of persons (head counts)","Norway","2019",95624,
"Practising nurses","Number of persons (head counts)","Norway","2020",96900,
"Practising nurses","Number of persons (head counts)","Norway","2021",99065,
"Practising nurses","Number of persons (head counts)","Poland","2019",214104,"Break"
"Practising nurses","Number of persons (head counts)","Poland","2020",210923,
"Practising nurses","Number of persons (head counts)","Poland","2021",214533,
"Practising nurses","Number of persons (head counts)","Spain","2019",276833,"Estimated value; Difference in methodology"
"Practising nurses","Number of persons (head counts)","Spain","2020",288300,"Estimated value; Difference in methodology"
"Practising nurses","Number of persons (head counts)","Spain","2021",300567,"Estimated value; Difference in methodology"
"Practising nurses","Number of persons (head counts)","Sweden","2019",111598,
"Practising nurses","Number of persons (head counts)","Sweden","2020",110483,
"Practising nurses","Number of persons (head counts)","Switzerland","2019",154004,
"Practising nurses","Number of persons (head counts)","Switzerland","2020",158714,
"Practising nurses","Number of persons (head counts)","Switzerland","2021",160101,
"Practising nurses","Number of persons (head counts)","United Kingdom","2019",547661,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","United Kingdom","2020",567803,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","United Kingdom","2021",584359,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","United Kingdom","2022",585361,"Estimated value; Difference in methodology"
"Practising nurses","Number of persons (head counts)","Brazil","2019",267729,
"Practising nurses","Number of persons (head counts)","Brazil","2020",301558,
"Practising nurses","Number of persons (head counts)","Brazil","2021",331630,
"Practising nurses","Number of persons (head counts)","China (People's Republic of)","2019",4445047,"Difference in methodology"
