"Variable","Measure","Country","Year","Value","Flags"
"Practising physicians","Number of persons (head counts)","Australia","2019",97039,"Estimated value"
"Practising physicians","Number of persons (head counts)","Australia","2020",100260,"Estimated value"
"Practising physicians","Number of persons (head counts)","Australia","2021",103196,"Estimated value"
"Practising physicians","Number of persons (head counts)","Austria","2019",46987,
"Practising physicians","Number of persons (head counts)","Austria","2020",47422,
"Practising physicians","Number of persons (head counts)","Austria","2021",48443,
"Practising physicians","Number of persons (head counts)","Austria","2022",49242,
"Practising physicians","Number of persons (head counts)","Belgium","2019",36343,
"Practising physicians","Number of persons (head counts)","Belgium","2020",37089,
"Practising physicians","Number of persons (head counts)","Belgium","2021",37630,
"Practising physicians","Number of persons (head counts)","Canada","2019",102850,"Estimated value"
"Practising physicians","Number of persons (head counts)","Canada","2020",103739,"Estimated value"
"Practising physicians","Number of persons (head counts)","Canada","2021",106042,"Estimated value"
"Practising physicians","Number of persons (head counts)","Canada","2022",107047,"Provisional value"
"Practising physicians","Number of persons (head counts)","Czechia","2019",43399,"Estimated value"
"Practising physicians","Number of persons (head counts)","Czechia","2020",43810,"Estimated value"
"Practising physicians","Number of persons (head counts)","Czechia","2021",44712,"Estimated value"
"Practising physicians","Number of persons (head counts)","Denmark","2019",24719,
"Practising physicians","Number of persons (head counts)","Denmark","2020",25522,
"Practising physicians","Number of persons (head counts)","Finland","2019",19695,
"Practising physicians","Number of persons (head counts)","Finland","2020",19970,
"Practising physicians","Number of persons (head counts)","France","2019",213180,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","France","2020",214293,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","France","2021",215722,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","Germany","2019",365388,
"Practising physicians","Number of persons (head counts)","Germany","2020",371556,
"Practising physicians","Number of persons (head counts)","Germany","2021",376852,
"Practising physicians","Number of persons (head counts)","Hungary","2019",34137,
"Practising physicians","Number of persons (head counts)","Hungary","2020",30610,"Break"
"Practising physicians","Number of persons (head counts)","Hungary","2021",32026,
"Practising physicians","Number of persons (head counts)","Iceland","2019",1404,
"Practising physicians","Number of persons (head counts)","Iceland","2020",1583,
"Practising physicians","Number of persons (head counts)","Iceland","2021",1631,
"Practising physicians","Number of persons (head counts)","Iceland","2022",1676,
"Practising physicians","Number of persons (head counts)","Ireland","2019",16366,
"Practising physicians","Number of persons (head counts)","Ireland","2020",17231,
"Practising physicians","Number of persons (head counts)","Ireland","2021",20256,
"Practising physicians","Number of persons (head counts)","Italy","2019",241945,
"Practising physicians","Number of persons (head counts)","Italy","2020",237844,
"Practising physicians","Number of persons (head counts)","Italy","2021",242721,
"Practising physicians","Number of persons (head counts)","Italy","2022",250813,"Provisional value"
"Practising physicians","Number of persons (head counts)","Japan","2020",327403,
"Practising physicians","Number of persons (head counts)","Korea","2019",127258,
"Practising physicians","Number of persons (head counts)","Korea","2020",130014,
"Practising physicians","Number of persons (head counts)","Korea","2021",132479,
"Practising physicians","Number of persons (head counts)","Mexico","2019",309418,
"Practising physicians","Number of persons (head counts)","Mexico","2020",307501,
"Practising physicians","Number of persons (head counts)","Mexico","2021",324292,
"Practising physicians","Number of persons (head counts)","Netherlands","2019",65121,
"Practising physicians","Number of persons (head counts)","Netherlands","2020",67100,
"Practising physicians","Number of persons (head counts)","Netherlands","2021",68363,
"Practising physicians","Number of persons (head counts)","New Zealand","2019",16813,"Estimated value"
"Practising physicians","Number of persons (head counts)","New Zealand","2020",17448,"Estimated value"
"Practising physicians","Number of persons (head counts)","New Zealand","2021",18037,"Estimated value"
"Practising physicians","Number of persons (head counts)","New Zealand","2022",18532,"Estimated value"
"Practising physicians","Number of persons (head counts)","Norway","2019",26572,
"Practising physicians","Number of persons (head counts)","Norway","2020",27361,
"Practising physicians","Number of persons (head counts)","Norway","2021",27925,
"Practising physicians","Number of persons (head counts)","Poland","2019",125349,"Break"
"Practising physicians","Number of persons (head counts)","Poland","2020",126064,
"Practising physicians","Number of persons (head counts)","Poland","2021",129893,
"Practising physicians","Number of persons (head counts)","Spain","2019",207565,"Estimated value"
"Practising physicians","Number of persons (head counts)","Spain","2020",216766,"Estimated value"
"Practising physicians","Number of persons (head counts)","Spain","2021",212735,"Estimated value"
"Practising physicians","Number of persons (head counts)","Sweden","2019",44061,
"Practising physicians","Number of persons (head counts)","Sweden","2020",44719,
"Practising physicians","Number of persons (head counts)","Switzerland","2019",37300,
"Practising physicians","Number of persons (head counts)","Switzerland","2020",37911,
"Practising physicians","Number of persons (head counts)","Switzerland","2021",38613,
"Practising physicians","Number of persons (head counts)","United Kingdom","2019",196784,
"Practising physicians","Number of persons (head counts)","United Kingdom","2020",203529,"Estimated value"
"Practising physicians","Number of persons (head counts)","United Kingdom","2021",213839,"Estimated value"
"Practising physicians","Number of persons (head counts)","United Kingdom","2022",214983,"Estimated value"
"Practising physicians","Number of persons (head counts)","United States","2019",866316,
"Practising physicians","Number of persons (head counts)","United States","2020",872624,
"Practising physicians","Number of persons (head counts)","United States","2021",885803,
"Practising physicians","Number of persons (head counts)","Brazil","2019",413559,
"Practising physicians","Number of persons (head counts)","Brazil","2020",433311,
"Practising physicians","Number of persons (head counts)","Brazil","2021",459080,
"Practising physicians","Number of persons (head counts)","China (People's Republic of)","2019",3210515,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","China (People's Republic of)","2020",3401672,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","China (People's Republic of)","2021",3590846,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","Estonia","2019",4603,
"Practising physicians","Number of persons (head counts)","Estonia","2020",4626,
"Practising physicians","Number of persons (head counts)","Estonia","2021",4568,
"Practising physicians","Number of persons (head counts)","India","2019",1234205,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","Indonesia","2019",125862,
"Practising physicians","Number of persons (head counts)","Indonesia","2020",170338,
"Practising physicians","Number of persons (head counts)","Indonesia","2021",190270,
"Practising physicians","Number of persons (head counts)","Israel","2019",29803,
"Practising physicians","Number of persons (head counts)","Israel","2020",30529,
"Practising physicians","Number of persons (head counts)","Israel","2021",31396,
"Practising physicians","Number of persons (head counts)","Russia","2019",610249,
"Practising physicians","Number of persons (head counts)","Slovenia","2019",6812,
"Practising physicians","Number of persons (head counts)","Slovenia","2020",6944,
"Practising physicians","Number of persons (head counts)","Slovenia","2021",7049,
"Practising physicians","Number of persons (head counts)","South Africa","2019",46393,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","South Africa","2021",48021,"Difference in methodology"
"Practising physicians","Number of persons (head counts)","Lithuania","2019",12768,
"Practising physicians","Number of persons (head counts)","Lithuania","2020",12529,
"Practising physicians","Number of persons (head counts)","Lithuania","2021",12533,
"Practising physicians","Number of persons (head counts)","Latvia","2019",6253,
"Practising physicians","Number of persons (head counts)","Latvia","2020",6346,
"Practising physicians","Number of persons (head counts)","Latvia","2021",6328,
"Practising physicians","Number of persons (head counts)","Croatia","2019",14312,
"Practising physicians","Number of persons (head counts)","Croatia","2020",14256,
"Practising physicians","Number of persons (head counts)","Croatia","2021",14656,
"Practising physicians","Number of persons (head counts)","Argentina","2020",175419,
"Practising physicians","Number of persons (head counts)","Bulgaria","2019",29549,
"Practising physicians","Number of persons (head counts)","Bulgaria","2020",29656,
"Practising physicians","Number of persons (head counts)","Bulgaria","2021",29543,
"Practising physicians","Number of persons (head counts)","Peru","2021",55479,
"Practising physicians","Number of persons (head counts)","Romania","2019",61731,"Break"
"Practising physicians","Number of persons (head counts)","Romania","2020",64127,
"Practising physicians","Number of persons (head counts)","Romania","2021",67096,
