"Variable","Measure","Country","Year","Value","Flags"
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Brazil","2018",195,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Brazil","2019",188,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Brazil","2020",257,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Ireland","2018",109,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Poland","2018",181,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Poland","2019",182,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Poland","2020",227,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Canada","2018",116,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Canada","2019",113,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2018",211,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2019",195,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2020",217,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2021",253,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Hungary","2018",271,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Hungary","2019",262,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","United Kingdom","2018",129,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","United Kingdom","2019",123,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","United Kingdom","2020",151,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Denmark","2018",121,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Denmark","2019",124,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Denmark","2020",120,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Australia","2018",101,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Australia","2019",104,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Australia","2020",96,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Australia","2021",97,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Japan","2018",89,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Japan","2019",86,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Japan","2020",85,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Mexico","2018",220,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Mexico","2019",220,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Mexico","2020",435,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2018",103,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2019",93,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2020",107,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2021",104,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2018",272,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2019",248,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2020",262,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2021",364,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Austria","2018",128,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Austria","2019",124,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Austria","2020",134,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Austria","2021",141,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Korea","2018",107,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Korea","2019",103,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Korea","2020",99,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Colombia","2018",150,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Colombia","2019",148,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Colombia","2020",223,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Switzerland","2018",89,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Switzerland","2019",84,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Switzerland","2020",94,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Germany","2018",127,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Germany","2019",122,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Germany","2020",129,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2018",247,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2019",241,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2020",285,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2021",326,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Chile","2018",124,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Chile","2019",122,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Chile","2020",171,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","South Africa","2018",335,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Spain","2018",95,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Spain","2019",92,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Spain","2020",118,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Spain","2021",112,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Israel","2018",73,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Israel","2019",72,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Israel","2020",83,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Finland","2018",130,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Finland","2019",125,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Finland","2020",129,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Slovak Republic","2018",198,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Slovak Republic","2019",189,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Sweden","2018",97,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","United States","2018",183,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","United States","2019",181,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","United States","2020",238,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Portugal","2018",116,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Portugal","2019",114,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Türkiye","2019",126,"Difference in methodology"
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2018",160,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2019",155,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2020",178,
