"Variable","Measure","Country","Year","Value","Flags"
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Germany","2018",69,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Germany","2019",66,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Germany","2020",66,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Korea","2018",47,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Korea","2019",44,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Korea","2020",43,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Slovenia","2018",64,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Slovenia","2019",58,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Slovenia","2020",57,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Portugal","2018",69,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Portugal","2019",66,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Israel","2018",61,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Israel","2019",61,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Israel","2020",58,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Spain","2018",54,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Spain","2019",52,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Spain","2020",51,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Spain","2021",51,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Costa Rica","2018",92,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Costa Rica","2019",95,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Costa Rica","2020",89,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Finland","2018",58,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Finland","2019",56,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Finland","2020",57,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2018",109,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2019",106,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2020",105,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Estonia","2021",110,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Hungary","2018",144,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Hungary","2019",142,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2018",51,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2019",48,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2020",48,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2021",49,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","United Kingdom","2018",75,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","United Kingdom","2019",71,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","United Kingdom","2020",71,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","United States","2018",94,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","United States","2019",92,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","United States","2020",98,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Switzerland","2018",41,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Switzerland","2019",40,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Switzerland","2020",39,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Türkiye","2019",107,"Difference in methodology"
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Colombia","2018",103,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Colombia","2019",99,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Colombia","2020",105,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Ireland","2018",63,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Brazil","2018",141,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Brazil","2019",140,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Brazil","2020",132,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Austria","2018",60,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Austria","2019",59,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Austria","2020",57,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Austria","2021",57,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Belgium","2018",57,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2018",100,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2019",97,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2020",99,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2021",102,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Mexico","2018",164,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Mexico","2019",167,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Mexico","2020",230,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Canada","2018",58,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Canada","2019",58,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Poland","2018",106,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Poland","2019",110,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Poland","2020",117,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Netherlands","2018",52,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Netherlands","2019",50,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Netherlands","2020",48,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2018",160,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2019",154,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2020",151,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Latvia","2021",167,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2018",53,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2019",50,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2020",47,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Luxembourg","2021",43,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Denmark","2018",59,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Denmark","2019",56,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Denmark","2020",54,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Sweden","2018",53,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Slovak Republic","2018",134,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Slovak Republic","2019",132,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2018",153,
