Country,Year,Value
Australia,2023,317968.33
Austria,2023,92807.67
Canada,2023,383332.67
Czechia,2023,92677.33
Denmark,2023,59310.00
Finland,2023,103328.00
France,2023,581484.00
Germany,2023,994000.00
Greece,2023,38391.33
Hungary,2023,60030.00
Iceland,2023,5611.67
Ireland,2023,64072.00
Italy,2023,369375.33
Japan,2023,1526740.00
Korea,2023,432850.33
Mexico,2023,370549.33
Netherlands,2023,193229.00
New Zealand,2023,53570.33
Norway,2023,97196.33
Poland,2023,213186.67
Spain,2023,288566.67
Sweden,2023,111040.50
Switzerland,2023,157606.33
United Kingdom,2023,566607.67
Brazil,2023,300305.67
China (People's Republic of),2023,4724395.33
Estonia,2023,8465.00
Indonesia,2023,596953.50
Israel,2023,47666.67
Russia,2023,1244755.00
Slovenia,2023,21860.33
South Africa,2023,62833.00
Latvia,2023,8081.33
Lithuania,2023,21842.00
Bulgaria,2023,29507.33
Romania,2023,149133.33
Croatia,2023,28500.00
