Country,Year,Value
Australia,2023,100165.00
Austria,2023,47617.33
Belgium,2023,37020.67
Canada,2023,104210.33
Czechia,2023,43973.67
Denmark,2023,25120.50
Finland,2023,19832.50
France,2023,214398.33
Germany,2023,371265.33
Hungary,2023,32257.67
Iceland,2023,1539.33
Ireland,2023,17951.00
Italy,2023,240836.67
Japan,2023,327403.00
Korea,2023,129917.00
Mexico,2023,313737.00
Netherlands,2023,66861.33
New Zealand,2023,17432.67
Norway,2023,27286.00
Poland,2023,127102.00
Spain,2023,212355.33
Sweden,2023,44390.00
Switzerland,2023,37941.33
United Kingdom,2023,204717.33
United States,2023,874914.33
Brazil,2023,435316.67
China (People's Republic of),2023,3401011.00
Estonia,2023,4599.00
India,2023,1234205.00
Indonesia,2023,162156.67
Israel,2023,30576.00
Russia,2023,610249.00
Slovenia,2023,6935.00
South Africa,2023,47207.00
Lithuania,2023,12610.00
Latvia,2023,6309.00
Croatia,2023,14408.00
Argentina,2023,175419.00
Bulgaria,2023,29582.67
Peru,2023,55479.00
Romania,2023,64318.00
