Country,Year,Value
Brazil,2023,222.50
Ireland,2023,nan
Poland,2023,204.50
Canada,2023,113.00
Estonia,2023,221.67
Hungary,2023,262.00
United Kingdom,2023,137.00
Denmark,2023,122.00
Australia,2023,99.00
Japan,2023,85.50
Mexico,2023,327.50
Luxembourg,2023,101.33
Latvia,2023,291.33
Austria,2023,133.00
Korea,2023,101.00
Colombia,2023,185.50
Switzerland,2023,89.00
Germany,2023,125.50
Lithuania,2023,284.00
Chile,2023,146.50
South Africa,2023,nan
Spain,2023,107.33
Israel,2023,77.50
Finland,2023,127.00
Slovak Republic,2023,189.00
Sweden,2023,nan
United States,2023,209.50
Portugal,2023,114.00
Türkiye,2023,126.00
Czechia,2023,188.67
Slovenia,2023,153.00
Costa Rica,2023,137.50
Netherlands,2023,106.00
Iceland,2023,87.67
Belgium,2023,nan
Greece,2023,123.00
Peru,2023,258.00
Argentina,2023,166.50
Croatia,2023,204.00
Bulgaria,2023,226.50
Romania,2023,245.00
