Country,Year,Value
Germany,2023,66.00
Korea,2023,43.50
Slovenia,2023,57.50
Portugal,2023,66.00
Israel,2023,59.50
Spain,2023,51.33
Costa Rica,2023,92.00
Finland,2023,56.50
Estonia,2023,107.00
Hungary,2023,142.00
Iceland,2023,48.33
United Kingdom,2023,71.00
United States,2023,95.00
Switzerland,2023,39.50
Türkiye,2023,107.00
Colombia,2023,102.00
Ireland,2023,nan
Brazil,2023,136.00
Austria,2023,57.67
Belgium,2023,nan
Czechia,2023,99.33
Mexico,2023,198.50
Canada,2023,58.00
Poland,2023,113.50
Netherlands,2023,49.00
Latvia,2023,157.33
Luxembourg,2023,46.67
Denmark,2023,55.00
Sweden,2023,nan
Slovak Republic,2023,132.00
Lithuania,2023,156.00
Chile,2023,79.00
Japan,2023,50.00
Australia,2023,49.00
South Africa,2023,nan
Greece,2023,77.00
Argentina,2023,136.50
Peru,2023,96.50
Croatia,2023,105.00
Bulgaria,2023,165.50
Romania,2023,174.00
